Epoch 174: Loss=0.4826, Accuracy=73.7916, Precision=0.7377, F1=0.7356
Epoch 175: Loss=0.4824, Accuracy=73.7245, Precision=0.7384, F1=0.7363
Epoch 176: Loss=0.4819, Accuracy=73.8606, Precision=0.7380, F1=0.7362
Epoch 177: Loss=0.4797, Accuracy=73.8970, Precision=0.7405, F1=0.7367
Epoch 178: Loss=0.4764, Accuracy=73.9852, Precision=0.7404, F1=0.7383
Epoch 179: Loss=0.4803, Accuracy=73.8663, Precision=0.7399, F1=0.7366
Epoch 180: Loss=0.4779, Accuracy=73.9143, Precision=0.7389, F1=0.7367
Epoch 181: Loss=0.4764, Accuracy=73.9593, Precision=0.7408, F1=0.7378
Epoch 182: Loss=0.4787, Accuracy=73.7705, Precision=0.7382, F1=0.7352
Epoch 183: Loss=0.4790, Accuracy=73.7916, Precision=0.7377, F1=0.7360
Epoch 184: Loss=0.4782, Accuracy=73.8021, Precision=0.7387, F1=0.7356
Epoch 185: Loss=0.4803, Accuracy=73.6612, Precision=0.7376, F1=0.7344
Epoch 186: Loss=0.4769, Accuracy=73.9075, Precision=0.7423, F1=0.7377
Epoch 187: Loss=0.4763, Accuracy=74.0312, Precision=0.7408, F1=0.7379
Epoch 188: Loss=0.4758, Accuracy=74.0801, Precision=0.7415, F1=0.7377
Epoch 189: Loss=0.4757, Accuracy=73.9401, Precision=0.7422, F1=0.7379
Epoch 190: Loss=0.4761, Accuracy=73.9353, Precision=0.7403, F1=0.7377
Epoch 191: Loss=0.4746, Accuracy=73.9190, Precision=0.7393, F1=0.7377
Epoch 192: Loss=0.4749, Accuracy=73.9545, Precision=0.7406, F1=0.7377
Epoch 193: Loss=0.4737, Accuracy=74.0226, Precision=0.7389, F1=0.7376
Epoch 194: Loss=0.4740, Accuracy=73.9325, Precision=0.7399, F1=0.7371
Epoch 195: Loss=0.4751, Accuracy=74.0513, Precision=0.7409, F1=0.7382
Epoch 196: Loss=0.4750, Accuracy=74.0571, Precision=0.7402, F1=0.7381
Epoch 197: Loss=0.4766, Accuracy=73.9037, Precision=0.7393, F1=0.7374
Epoch 198: Loss=0.4749, Accuracy=74.0274, Precision=0.7432, F1=0.7389
Epoch 199: Loss=0.4725, Accuracy=74.1462, Precision=0.7407, F1=0.7392
Epoch 200: Loss=0.4727, Accuracy=74.0580, Precision=0.7417, F1=0.7384
Epoch 201: Loss=0.4706, Accuracy=74.2555, Precision=0.7436, F1=0.7401
Epoch 202: Loss=0.4688, Accuracy=74.1999, Precision=0.7435, F1=0.7401
Epoch 203: Loss=0.4694, Accuracy=74.2171, Precision=0.7436, F1=0.7401
Epoch 204: Loss=0.4677, Accuracy=74.2526, Precision=0.7447, F1=0.7406
Epoch 205: Loss=0.4690, Accuracy=74.2200, Precision=0.7434, F1=0.7403
Epoch 206: Loss=0.4714, Accuracy=74.1913, Precision=0.7426, F1=0.7403
Epoch 207: Loss=0.4708, Accuracy=74.1558, Precision=0.7432, F1=0.7395
Epoch 208: Loss=0.4690, Accuracy=74.2373, Precision=0.7440, F1=0.7403
Epoch 209: Loss=0.4720, Accuracy=74.0954, Precision=0.7417, F1=0.7385
Epoch 210: Loss=0.4709, Accuracy=74.2229, Precision=0.7446, F1=0.7407
Epoch 211: Loss=0.4704, Accuracy=74.2248, Precision=0.7437, F1=0.7400
Epoch 212: Loss=0.4698, Accuracy=74.1980, Precision=0.7418, F1=0.7397
Epoch 213: Loss=0.4697, Accuracy=74.0599, Precision=0.7408, F1=0.7390
Epoch 214: Loss=0.4700, Accuracy=74.2123, Precision=0.7425, F1=0.7396
Epoch 215: Loss=0.4694, Accuracy=74.1884, Precision=0.7418, F1=0.7396
Epoch 216: Loss=0.4678, Accuracy=74.0695, Precision=0.7410, F1=0.7388
Epoch 217: Loss=0.4684, Accuracy=74.1893, Precision=0.7434, F1=0.7400
Epoch 218: Loss=0.4666, Accuracy=74.3187, Precision=0.7448, F1=0.7418
